PM10,CO,O3,SO2,NO2,Sensor,PM2.5,Timestamp
914.39,,,0.0025422,0.020323,172,,2020-11-26T09:00:00
26.057,,,0.0012954,0.0045663,172,,2020-11-02T02:00:00
916.53,,,0.0018432,0.017221,172,,2020-11-13T22:00:00
12.083,,,0.0013193,0.007996,172,,2020-10-30T05:00:00
32.965,,,0.0015334,0.0067483,172,,2020-10-30T15:00:00
931.15,,,0.0018835,0.0064016,172,,2020-11-21T13:00:00
81.871,,,0.0031755,0.036206,172,,2020-11-08T22:00:00
34.824,,,0.0014502,0.014795,172,,2020-11-04T20:00:00
122.64,,,0.0032803,0.033422,172,,2020-11-08T23:00:00
924.77,,,0.0013422,0.0058697,172,,2020-11-15T18:00:00
904.88,,,0.0042582,0.025922,172,,2020-11-25T03:00:00
914.4799999999999,,,0.002675,0.030283,172,,2020-11-24T23:00:00
912.31,,,0.0013122,0.011133,172,,2020-11-17T18:00:00
70.982,,,0.003656,0.03332,172,,2020-10-31T23:00:00
932.41,,,0.0013092,0.0049797,172,,2020-11-11T16:00:00
914.7800000000001,,,0.001177,0.0055585,172,,2020-11-13T05:00:00
919.45,,,0.001965,0.011391,172,,2020-11-17T10:00:00
80.146,,,0.0046322,0.028075,172,,2020-10-31T11:00:00
918.62,,,0.0012892,0.010026,172,,2020-11-13T09:00:00
37.105,,,0.0021634,0.0071628,172,,2020-11-04T14:00:00
17.262,,,0.0013027,0.0039646,172,,2020-11-03T04:00:00
907.8199999999999,,,0.0022035,0.012319,172,,2020-11-17T03:00:00
921.1,,,0.0013729,0.0070384,172,,2020-11-17T16:00:00
920.9000000000001,,,0.0016761,0.0080678,172,,2020-11-18T15:00:00
912.54,,,0.0013594,0.00902,172,,2020-11-21T06:00:00
918.3299999999999,,,0.0038314,0.029522,172,,2020-11-10T21:00:00
929.14,,,0.0023449,0.0072948,172,,2020-11-20T16:00:00
37.203,,,0.0019661,0.010744,172,,2020-11-03T22:00:00
924.98,,,0.0028192,0.038913,172,,2020-11-10T19:00:00
911.5600000000001,,,0.0013836,0.0089535,172,,2020-11-21T05:00:00
36.017,,,0.0011414,0.0054196,172,,2020-11-05T15:00:00
55.317,,,0.0019543,0.010236,172,,2020-11-03T18:00:00
934.89,,,0.0074445,0.0083059,172,,2020-11-24T15:00:00
944.32,,,0.003367,0.0189,172,,2020-11-12T13:00:00
905.44,,,0.0014844,0.0082387,172,,2020-11-19T02:00:00
913.72,,,0.0016487,0.0089193,172,,2020-11-18T17:00:00
926.2,,,0.0084733,0.027526,172,,2020-11-26T18:00:00
905.49,,,0.0021126,0.019291,172,,2020-11-24T01:00:00
7.9190000000000005,,,0.0037179,0.032475,172,,2020-11-10T00:00:00
918.75,,,0.0027473,0.018949,172,,2020-11-11T20:00:00
906.55,,,0.0015795,0.010435,172,,2020-11-14T05:00:00
57.847,,,0.002068,0.023511,172,,2020-10-31T02:00:00
922.28,,,0.0026154,0.029902,172,,2020-11-25T19:00:00
939.3399999999999,,,0.013594,0.017013,172,,2020-11-24T13:00:00
919.8100000000001,,,0.0033399,0.037376,172,,2020-11-26T21:00:00
17.840999999999998,,,0.0011421,0.015683,172,,2020-10-30T07:00:00
17.617,,,0.0017656,,172,,2020-11-04T06:00:00
944.68,,,0.0029538,0.025902,172,,2020-11-12T12:00:00
33.946999999999996,,,0.0023325,0.016613,172,,2020-10-31T20:00:00
58.657000000000004,,,0.0016825,0.0078144,172,,2020-11-05T12:00:00
914.3599999999999,,,0.001361,0.0083215,172,,2020-11-16T00:00:00
944.13,,,0.002963,0.0085509,172,,2020-11-15T11:00:00
911.1,,,0.0028846,0.028735,172,,2020-11-27T02:00:00
927.41,,,0.0013712,0.0073995,172,,2020-11-18T14:00:00
-0.065353,,,0.0022026,0.0089348,172,,2020-11-04T12:00:00
20.339,,,0.0018213,0.0076248,172,,2020-11-03T07:00:00
16.691000000000003,,,0.0037592,0.010992,172,,2020-11-10T13:00:00
911.85,,,0.0013535,0.011523,172,,2020-11-21T00:00:00
29.093,,,0.0012218,0.017949,172,,2020-11-05T20:00:00
911.4499999999999,,,0.0014303,0.0079227,172,,2020-11-17T22:00:00
912.84,,,0.0014574,0.0087639,172,,2020-11-18T11:00:00
911.27,,,0.0017076,0.01392,172,,2020-11-18T19:00:00
908.6999999999999,,,0.0016754,0.014655,172,,2020-11-20T20:00:00
944.08,,,0.0033575,0.023159,172,,2020-11-14T12:00:00
916.92,,,0.0022505,0.016032,172,,2020-11-19T10:00:00
16.163,,,0.0038212,0.035438,172,,2020-11-09T21:00:00
959.09,,,0.005582,0.010161,172,,2020-11-11T13:00:00
919.5100000000001,,,0.0023294,0.021567,172,,2020-11-14T20:00:00
62.389,,,0.0027896,0.010917,172,,2020-10-31T14:00:00
926.52,,,0.0018149,0.007791,172,,2020-11-23T17:00:00
39.4,,,0.0017843,0.0094172,172,,2020-11-03T13:00:00
913.88,,,0.0024267,0.023762,172,,2020-11-26T01:00:00
917.34,,,0.0064271,0.035486,172,,2020-11-25T09:00:00
944.33,,,0.0018422,0.016289,172,,2020-11-13T13:00:00
916.72,,,0.0012494,0.0049671,172,,2020-11-16T01:00:00
914.6800000000001,,,0.0026468,0.031628,172,,2020-11-14T23:00:00
932.79,,,0.0012552,0.0048088,172,,2020-11-23T12:00:00
31.295,,,0.0011083,0.0055168,172,,2020-11-05T16:00:00
916.67,,,0.0012872,0.0070349,172,,2020-11-12T05:00:00
57.026,,,0.0026711,0.0048091,172,,2020-11-08T13:00:00
914.99,,,0.003002,0.029857,172,,2020-11-12T23:00:00
914.34,,,0.001283,0.013709,172,,2020-11-12T08:00:00
915.9699999999999,,,0.0031175,0.028964,172,,2020-11-27T01:00:00
40.262,,,0.0014257,0.011071,172,,2020-11-07T05:00:00
919.65,,,0.0019149,0.00744,172,,2020-11-17T13:00:00
50.613,,,0.0016697,0.0067638,172,,2020-11-06T15:00:00
26.756,,,0.0012152,0.0059299,172,,2020-11-02T10:00:00
41.730999999999995,,,0.0018179,0.018729,172,,2020-11-06T07:00:00
32.362,,,0.0016792,0.011462,172,,2020-11-06T18:00:00
939.6099999999999,,,0.0088345,0.025978,172,,2020-11-24T12:00:00
909.1700000000001,,,0.0026288,0.022513,172,,2020-11-15T08:00:00
904.92,,,0.0034474,0.02244,172,,2020-11-25T06:00:00
94.21000000000001,,,0.0035131,0.034395,172,,2020-11-09T09:00:00
46.647,,,0.0033618,0.02382,172,,2020-11-06T10:00:00
53.25,,,0.0022791,0.018272,172,,2020-10-31T21:00:00
67.219,,,0.0031578,0.027286,172,,2020-11-07T23:00:00
11.971,,,0.0029399,0.033795,172,,2020-11-09T20:00:00
20.521,,,0.0025256,,172,,2020-11-04T04:00:00
920.9399999999999,,,0.0013683,0.007415,172,,2020-11-18T12:00:00
910.71,,,0.0015503,0.0063233,172,,2020-11-22T00:00:00
904.89,,,0.00089899,0.0048459,172,,2020-11-20T08:00:00
107.06,,,0.0022675,0.007668,172,,2020-10-31T15:00:00
29.519,,,0.0014604,0.015862,172,,2020-11-04T19:00:00
926.51,,,0.001025,0.0055715,172,,2020-11-19T16:00:00
40.049,,,0.001538,0.016985,172,,2020-11-05T08:00:00
911.2900000000001,,,0.0015853,0.010904,172,,2020-11-14T04:00:00
25.834,,,0.0015735,0.013085,172,,2020-11-05T22:00:00
41.091,,,0.0015357,0.012705,172,,2020-11-08T05:00:00
911.51,,,0.0025217,0.025157,172,,2020-11-11T03:00:00
919.14,,,0.0023188,0.02776,172,,2020-11-14T21:00:00
908.1700000000001,,,0.0016107,0.0098059,172,,2020-11-17T20:00:00
909.6800000000001,,,0.002508,0.021699,172,,2020-11-14T02:00:00
906.74,,,0.0007528,0.0067084,172,,2020-11-23T06:00:00
22.653,,,0.0015359,0.017032,172,,2020-11-03T09:00:00
32.576,,,0.0011902,0.0064043,172,,2020-11-05T17:00:00
918.62,,,0.0010745,0.010445,172,,2020-11-19T18:00:00
935.5,,,0.001064,0.0049102,172,,2020-11-10T15:00:00
935.76,,,0.0021495,0.016641,172,,2020-11-20T12:00:00
924.03,,,0.004029,0.027173,172,,2020-11-26T19:00:00
68.552,,,0.0031342,0.010972,172,,2020-11-06T11:00:00
909.8000000000001,,,0.0018186,0.018554,172,,2020-11-14T07:00:00
912.31,,,0.001837,0.013842,172,,2020-11-16T21:00:00
906.27,,,0.0010227,0.0023177,172,,2020-11-18T04:00:00
118.63,,,0.0028755,0.029261,172,,2020-11-09T00:00:00
27.98,,,0.0027848,0.0071475,172,,2020-11-01T11:00:00
910.72,,,0.0026083,0.024924,172,,2020-11-26T02:00:00
914.23,,,0.0014329,0.011801,172,,2020-11-15T23:00:00
27.398,,,0.0014991,0.010681,172,,2020-11-04T22:00:00
921.95,,,0.0041662,0.0088218,172,,2020-11-22T10:00:00
